Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Hybrid,Delta_Rank,Movement,Rule_Contribution,Content_Contribution,Rank,Recommendation_Score,Recommendation_Label
Puncak Sosok,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,112,23.08,Alternatif
Air Terjun Kembang Soka,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,113,23.08,Alternatif
Wisata Alam Kembang Soka ,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,114,23.08,Alternatif
Museum Kereta Kraton/ Museum Wahanarata,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,115,23.08,Alternatif
Wisata Alam Watu Gendong Beji ,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,116,23.08,Alternatif
Museum Wayang Beber Sekartaji ,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,117,23.08,Alternatif
Pantai Parangendog,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,118,23.08,Alternatif
Kebun Buah Mangunan,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,119,23.08,Alternatif
Gunung Kendil ,0.3846153846153847,0.0,0.2307692307692308,25,79,-54,Turun,0.2307692307692308,0.0,120,23.08,Alternatif
Museum Pendidikan Indonesia,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,121,20.77,Alternatif
Gua Jomblang,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,122,20.77,Alternatif
Museum Gempa Prof. Dr. Sarwidi,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,123,20.77,Alternatif
Pantai Ngandong,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,124,20.77,Alternatif
Bukit Turgo,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,125,20.77,Alternatif
Museum Dirgantara,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,126,20.77,Alternatif
Museum Perjuangan,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,127,20.77,Alternatif
Candi Barong,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,128,20.77,Alternatif
Puncak Suroloyo,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,129,20.77,Alternatif
Puncak Becici,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,130,20.77,Alternatif
Turgo Plawangan,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,131,20.77,Alternatif
Tankaman Kaliurang,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,132,20.77,Alternatif
Museum Peta ,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,133,20.77,Alternatif
Gunung Api Purba Nglanggeran,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,134,20.77,Alternatif
Selopamioro Adventure Park,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,135,20.77,Alternatif
Candi Banyunibo,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,136,20.77,Alternatif
Pantai Porok,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,137,20.77,Alternatif
Gua Song Gilap Anjani Kenteng ,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,138,20.77,Alternatif
Gunung Ireng,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,139,20.77,Alternatif
Pantai Mlarangan Asri,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,140,20.77,Alternatif
Museum Geoteknologi Mineral UPN,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,141,20.77,Alternatif
Bukit Kosakora,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,142,20.77,Alternatif
Pantai Greweng,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,143,20.77,Alternatif
Pantai Ngunggah,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,144,20.77,Alternatif
Pantai Kukup,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,145,20.77,Alternatif
Bukit Klangon,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,146,20.77,Alternatif
Gedung Agung,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,147,20.77,Alternatif
Pantai Banyutibo,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,148,20.77,Alternatif
Gua Tanding,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,149,20.77,Alternatif
Potrobayan,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,150,20.77,Alternatif
Pantai Ngobaran,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,151,20.77,Alternatif
Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,152,20.77,Alternatif
Monumen Pahlawan Pancasila,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,153,20.77,Alternatif
Candi Kalasan,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,154,20.77,Alternatif
Perbukitan Widosari,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,155,20.77,Alternatif
Pantai Sedahan,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,156,20.77,Alternatif
Pantai Nguyahan,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,157,20.77,Alternatif
Taman Sari Kraton Yogyakarta,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,158,20.77,Alternatif
Seribu Batu Songgolangit ,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,159,20.77,Alternatif
Candi Sambisari,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,160,20.77,Alternatif
Hutan Pinus Mangunan (Hutan Pinus Sari),0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,161,20.77,Alternatif
Affandi Museum,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,162,20.77,Alternatif
Laguna Pantai Depok,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,163,20.77,Alternatif
Wisata Alam Kali Gowang ,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,164,20.77,Alternatif
Batu Alien ,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,165,20.77,Alternatif
Candi Kedulan,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,166,20.77,Alternatif
Pantai Watu Lumbung,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,167,20.77,Alternatif
Pantai Bopeso,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,168,20.77,Alternatif
Air Terjun Curug Sidoharjo,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,169,20.77,Alternatif
Pantai Ngetun,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,170,20.77,Alternatif
Bunker Kaliadem,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,171,20.77,Alternatif
Kalisuci Cave Tubing,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,172,20.77,Alternatif
Pantai Pulang Sawal,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,173,20.77,Alternatif
Museum Pleret,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,174,20.77,Alternatif
Plunyon Kalikuning,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,175,20.77,Alternatif
Pantai Parangtritis,0.346153846153846,0.0,0.2076923076923076,72,121,-49,Turun,0.2076923076923076,0.0,176,20.77,Alternatif
Kebun Teh Nglinggo,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,177,18.46,Alternatif
Pantai Drini,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,178,18.46,Alternatif
Pantai Midodaren,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,179,18.46,Alternatif
Bukit lintang sewu,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,180,18.46,Alternatif
Pantai Nglambor,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,181,18.46,Alternatif
Pantai Wediombo,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,182,18.46,Alternatif
Sesar Opak Bukit Mengger,0.30769230769230765,0.0,0.1846153846153846,135,177,-42,Turun,0.1846153846153846,0.0,183,18.46,Alternatif
