Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Museum UGM,0.0,0.0,0.0,1,57,57,-56
Pantai Kesirat ,0.0,0.0,0.0,1,57,57,-56
Pantai Kukup,0.0,0.0,0.0,1,57,57,-56
Sendang Beji,0.0,0.0,0.0,1,57,57,-56
Museum Bank Indonesia,0.0,0.0,0.0,1,57,57,-56
Pantai Krakal,0.0,0.0,0.0,1,57,57,-56
Pantai Slili,0.0,0.0,0.0,1,57,57,-56
Pantai Krokoh,0.0,0.0,0.0,1,57,57,-56
Pantai Seruni,0.0,0.0,0.0,1,57,57,-56
Pantai Ngunggah,0.0,0.0,0.0,1,57,57,-56
Seribu Batu Songgolangit ,0.0,0.0,0.0,1,57,57,-56
Museum Muhammadiyah ,0.0,0.0,0.0,1,57,57,-56
Pantai Kayu Arum ,0.0,0.0,0.0,1,57,57,-56
Hutan Pinus Mangunan (Hutan Pinus Sari),0.0,0.0,0.0,1,57,57,-56
Pantai Mesra,0.0,0.0,0.0,1,57,57,-56
Teras Merapi,0.0,0.0,0.0,1,57,57,-56
Candi Kalasan,0.0,0.0,0.0,1,57,57,-56
Watu Goyang ,0.0,0.0,0.0,1,57,57,-56
Museum Wayang Kekayon,0.0,0.0,0.0,1,57,57,-56
Situs Warungboto,0.0,0.0,0.0,1,57,57,-56
Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.0,0.0,0.0,1,57,57,-56
Museum Purbakala Taman Wisata Prambanan,0.0,0.0,0.0,1,57,57,-56
Pantai Timang,0.0,0.0,0.0,1,57,57,-56
Air Terjun Luweng Sampang,0.0,0.0,0.0,1,57,57,-56
Makam Nyi Ageng Serang ,0.0,0.0,0.0,1,57,57,-56
Goa Sentono,0.0,0.0,0.0,1,57,57,-56
Gua Kidang Kencono,0.0,0.0,0.0,1,57,57,-56
Sungai Mudal,0.0,0.0,0.0,1,57,57,-56
Museum Andi Bayou ,0.0,0.0,0.0,1,57,57,-56
Panorama Setro,0.0,0.0,0.0,1,57,57,-56
Bukit Paralayang Watugupit,0.0,0.0,0.0,1,57,57,-56
Pantai Wohkudu,0.0,0.0,0.0,1,57,57,-56
Pantai Sedahan,0.0,0.0,0.0,1,57,57,-56
Pantai Watu Lumbung,0.0,0.0,0.0,1,57,57,-56
Grojogan Watu Purba ,0.0,0.0,0.0,1,57,57,-56
Pantai Mbuluk,0.0,0.0,0.0,1,57,57,-56
Mengger Kemuning,0.0,0.0,0.0,1,57,57,-56
Air Terjun Curug Sidoharjo,0.0,0.0,0.0,1,57,57,-56
Rumah Sandi Negara,0.0,0.0,0.0,1,57,57,-56
Pantai Ngetun,0.0,0.0,0.0,1,57,57,-56
Museum Laboratorium Sejarah UPY,0.0,0.0,0.0,1,57,57,-56
Museum TNI AD Dharma Wiratama,0.0,0.0,0.0,1,57,57,-56
Perbukitan Widosari,0.0,0.0,0.0,1,57,57,-56
Pantai Bopeso,0.0,0.0,0.0,1,57,57,-56
Museum Dirgantara,0.0,0.0,0.0,1,57,57,-56
Turgo Plawangan,0.0,0.0,0.0,1,57,57,-56
Pantai Midodaren,0.0,0.0,0.0,1,57,57,-56
Air Terjun Kedung Pedut,0.0,0.0,0.0,1,57,57,-56
Museum Wayang Beber Sekartaji ,0.0,0.0,0.0,1,57,57,-56
Pantai Drini,0.0,0.0,0.0,1,57,57,-56
Gunung Api Purba Nglanggeran,0.0,0.0,0.0,1,57,57,-56
Geoforest Watu Payung Turunan,0.0,0.0,0.0,1,57,57,-56
Pantai Parangendog,0.0,0.0,0.0,1,57,57,-56
Air Terjun Srigethuk,0.0,0.0,0.0,1,57,57,-56
Sendra Tari Ramayana Ballet (Outdoor),0.0,0.0,0.0,1,57,57,-56
Wisata Alam Kembang Soka ,0.0,0.0,0.0,1,57,57,-56
Museum Memorial Jendral Besar HM Soeharto,0.0,0.0,0.0,1,57,57,-56
Gunung Ireng,0.0,0.0,0.0,1,57,57,-56
