dest1,dest2,similarity,jenis1,jenis2
Mangrove Wanatirta,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Mangrove Wanatirta,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Mangrove Wanatirta,Affandi Museum,0.47689724169351244,Alam,Budaya
Mangrove Wanatirta,Kraton,0.47689724169351244,Alam,Budaya
Mangrove Wanatirta,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
Mangrove Wanatirta,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Mangrove Wanatirta,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Pantai Parangtritis,Museum Gerabah Kasongan,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Taman Sari Kraton Yogyakarta,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Affandi Museum,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Kraton,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Mangrove Wanatirta,Museum Gerabah Kasongan,0.47689724169351244,Alam,Budaya
Kraton,Gua Kidang Kencono,0.47689724169351244,Budaya,Alam
Kraton,Gua Permoni,0.47689724169351244,Budaya,Alam
Kraton,Gua Rencang Kencono,0.47689724169351244,Budaya,Alam
Kraton,Kawasan Konservasi Mangrove Baros,0.47689724169351244,Budaya,Alam
Kraton,Gua Sriti ,0.47689724169351244,Budaya,Alam
Kraton,Wisata Alam Kali Gowang ,0.47689724169351244,Budaya,Alam
Kraton,Batu Alien ,0.47689724169351244,Budaya,Alam
Kraton,Gua Pindul,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wisata Klayar (Desa Wisata),0.47689724169351244,Budaya,Alam
Wisata Alam Watu Gendong Beji ,Affandi Museum,0.47689724169351244,Alam,Budaya
Wisata Alam Watu Gendong Beji ,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Wisata Alam Watu Gendong Beji ,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Wisata Alam Watu Gendong Beji ,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Wisata Alam Watu Gendong Beji ,Kraton,0.47689724169351244,Alam,Budaya
Wisata Alam Watu Gendong Beji ,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
Pantai Sanglen,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Pantai Sanglen,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Pantai Sepanjang ,Museum Gerabah Kasongan,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Pantai Congot,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Permoni,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Rencang Kencono,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Kawasan Konservasi Mangrove Baros,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Sriti ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wisata Alam Kali Gowang ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Batu Alien ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Pindul,0.47689724169351244,Budaya,Alam
Wisata Alam Watu Gendong Beji ,Museum Gerabah Kasongan,0.47689724169351244,Alam,Budaya
Wisata Alam Watu Gendong Beji ,Taman Sari Kraton Yogyakarta,0.47689724169351244,Alam,Budaya
Wisata Alam Watu Gendong Beji ,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Pantai Nglolang ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Bukit Penguk Kediwung,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Parangkusumo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Watu Jagal,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Lava Bantal,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Samas,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Pandansari,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wisata Alam Kalibiru,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Payaman,0.47689724169351244,Budaya,Alam
Wisata Alam Kalibiru,Taman Sari Kraton Yogyakarta,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Telaga Jonge,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Air Terjun Jurug Gede,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Laguna Pantai Depok,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Depok,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Hutan pendidikan Wanagama ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Bukit Teletubies ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Baron,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Air Terjun Banyunibo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Tahura Bunder,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Bukit Klangon,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wisata Alam Kedung Banteng ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Kawasan Hutan Wanasadi,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Blue Lagoon,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Hutan Mangrove Kadilangu,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Kebun Teh Tritis ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wunung Giriselokondo ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Kiskendo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Sanglen,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Ayunan Langit,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Sadeng,0.47689724169351244,Budaya,Alam
Taman Nasional Gunung Merapi,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Affandi Museum,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Taman Sari Kraton Yogyakarta,0.47689724169351244,Alam,Budaya
Wisata Alam Kalibiru,Kraton,0.47689724169351244,Alam,Budaya
Wisata Alam Kalibiru,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
Wisata Alam Kalibiru,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Wisata Alam Kalibiru,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Wisata Alam Kalibiru,Affandi Museum,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Kraton,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Taman Nasional Gunung Merapi,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
