title,jumlah_ulasan,rating,jumlah_positif,jumlah_netral,jumlah_negatif,rasio_positif,rasio_netral,rasio_negatif,skor_sentimen,skor_sentimen_norm
Pantai Sepanjang,59,4.508474576,27,5,27,0.457627119,0.084745763,0.457627119,0,0.5
Pantai Seruni,61,4.409836066,16,3,42,0.262295082,0.049180328,0.68852459,-0.426229508,0.286885246
Pantai Siung,59,4.813559322,30,4,25,0.508474576,0.06779661,0.423728814,0.084745763,0.542372881
Pantai Slili,61,4.606557377,28,5,28,0.459016393,0.081967213,0.459016393,0,0.5
Pantai Somandeng,56,4.660714286,26,7,23,0.464285714,0.125,0.410714286,0.053571429,0.526785714
Pantai Srakung,63,4.746031746,14,6,43,0.222222222,0.095238095,0.682539683,-0.46031746,0.26984127
Pantai Sundak,54,4.537037037,27,3,24,0.5,0.055555556,0.444444444,0.055555556,0.527777778
Pantai Timang,30,4.7,11,7,12,0.366666667,0.233333333,0.4,-0.033333333,0.483333333
Pantai Torohudan,72,4.583333333,19,9,44,0.263888889,0.125,0.611111111,-0.347222222,0.326388889
Pantai Watu Kodok,40,4.65,20,4,16,0.5,0.1,0.4,0.1,0.55
Pantai Watu Lawang,60,3.816666667,22,5,33,0.366666667,0.083333333,0.55,-0.183333333,0.408333333
Pantai Watu Lumbung,70,4.714285714,18,5,47,0.257142857,0.071428571,0.671428571,-0.414285714,0.292857143
Pantai Wediombo,59,4.457627119,22,6,31,0.372881356,0.101694915,0.525423729,-0.152542373,0.423728814
Pantai Wohkudu,59,4.576271186,21,8,30,0.355932203,0.13559322,0.508474576,-0.152542373,0.423728814
Pasar Seni Gabusan ,20,4.25,8,3,9,0.4,0.15,0.45,-0.05,0.475
Perbukitan Widosari,52,4.788461538,24,5,23,0.461538462,0.096153846,0.442307692,0.019230769,0.509615385
Petilasan Gunung Gambar,49,4.816326531,15,6,28,0.306122449,0.12244898,0.571428571,-0.265306122,0.367346939
Petilasan Kembang Lampir,36,4.861111111,14,9,13,0.388888889,0.25,0.361111111,0.027777778,0.513888889
Pictniq,54,4.37037037,22,8,24,0.407407407,0.148148148,0.444444444,-0.037037037,0.481481481
Pintu Langit Dahromo,44,4.431818182,21,3,20,0.477272727,0.068181818,0.454545455,0.022727273,0.511363636
Plunyon Kalikuning,49,4.632653061,17,4,28,0.346938776,0.081632653,0.571428571,-0.224489796,0.387755102
Potrobayan,45,4.377777778,22,2,21,0.488888889,0.044444444,0.466666667,0.022222222,0.511111111
Puncak Becici,45,4.822222222,32,2,11,0.711111111,0.044444444,0.244444444,0.466666667,0.733333333
Puncak Kleco,63,4.46031746,18,5,40,0.285714286,0.079365079,0.634920635,-0.349206349,0.325396825
Puncak Sosok,48,4.854166667,26,6,16,0.541666667,0.125,0.333333333,0.208333333,0.604166667
Puncak Suroloyo,53,4.849056604,24,3,26,0.452830189,0.056603774,0.490566038,-0.037735849,0.481132075
Puncak Watu Togog,5,3.4,1,2,2,0.2,0.4,0.4,-0.2,0.4
Rumah Sandi Negara,65,4.984615385,41,5,19,0.630769231,0.076923077,0.292307692,0.338461538,0.669230769
Sadranan Park,50,3.96,19,6,25,0.38,0.12,0.5,-0.12,0.44
Satoloka,46,4.565217391,21,4,21,0.456521739,0.086956522,0.456521739,0,0.5
Selopamioro Adventure Park,38,4.5,24,1,13,0.631578947,0.026315789,0.342105263,0.289473684,0.644736842
Sendang Beji,40,4.8,26,3,11,0.65,0.075,0.275,0.375,0.6875
Sendra Tari Ramayana Ballet,46,4.456521739,16,4,26,0.347826087,0.086956522,0.565217391,-0.217391304,0.391304348
Seribu Batu Songgolangit,46,4.717391304,22,6,18,0.47826087,0.130434783,0.391304348,0.086956522,0.543478261
Sesar Opak Bukit Mengger,53,4.622641509,31,6,16,0.58490566,0.113207547,0.301886792,0.283018868,0.641509434
Sindu Kusuma Edupark,44,4.090909091,9,3,32,0.204545455,0.068181818,0.727272727,-0.522727273,0.238636364
Situs Bleberan,7,3.428571429,2,1,4,0.285714286,0.142857143,0.571428571,-0.285714286,0.357142857
Situs Candi Pelembutan,28,4.428571429,10,3,15,0.357142857,0.107142857,0.535714286,-0.178571429,0.410714286
Situs Candi Risan,50,4.62,6,14,30,0.12,0.28,0.6,-0.48,0.26
Situs Gembirowati,39,4.641025641,12,10,17,0.307692308,0.256410256,0.435897436,-0.128205128,0.435897436
Situs Mangir Ki Ageng,32,4.625,14,4,14,0.4375,0.125,0.4375,0,0.5
Situs Surocolo Goa Sunan Mas,50,4.76,26,5,19,0.52,0.1,0.38,0.14,0.57
