title,rata2_bintang,std_bintang,jumlah_ulasan,rasio_positif,rasio_netral,rasio_negatif,confidence_avg,skor_rekomendasi
Nawang Jagad,4.878787878787879,0.37273011540220224,66,0.4090909090909091,0.09090909090909091,0.5,0.8704823739159336,0.6924242424242425
Air Terjun Kedung Pedut,4.815789473684211,0.7298745970738874,38,0.42105263157894735,0.10526315789473684,0.47368421052631576,0.8952604029354432,0.6921052631578948
Monumen Museum Pangeran Diponegoro,4.628571428571429,0.9102589898327995,35,0.45714285714285713,0.08571428571428572,0.45714285714285713,0.8603246892984412,0.6914285714285715
Pantai Slili,4.60655737704918,0.9179449606701222,61,0.45901639344262296,0.08196721311475409,0.45901639344262296,0.87498196336481,0.6901639344262295
Telaga Kemuning,4.345454545454546,0.8436732257127234,55,0.509090909090909,0.03636363636363636,0.45454545454545453,0.9056363439921924,0.6890909090909091
Ayunan Langit,4.481481481481482,0.9352239703107885,27,0.48148148148148145,0.2222222222222222,0.2962962962962963,0.847296519988295,0.6888888888888889
Museum Terbuka Vulcano Park Bakalan,4.314285714285714,0.963187983955871,35,0.5142857142857142,0.14285714285714285,0.34285714285714286,0.8551326271758263,0.6885714285714285
Bunker Kaliadem Merapi,4.82051282051282,0.3887764119844716,39,0.41025641025641024,0.1282051282051282,0.46153846153846156,0.8777154430756579,0.6871794871794872
Satoloka,4.565217391304348,0.8069744292532441,46,0.45652173913043476,0.08695652173913043,0.45652173913043476,0.8743654746530652,0.6847826086956521
Goa bentar the swargaloka adventure,4.333333333333333,1.632993161855452,6,0.5,0.16666666666666666,0.3333333333333333,0.80235098440362,0.6833333333333333
Batu Alien,4.5,1.0747894741730135,30,0.4666666666666667,0.1,0.43333333333333335,0.8668964177977426,0.6833333333333333
Gamplong Studio Alam,4.660377358490566,0.7323144613120339,53,0.4339622641509434,0.11320754716981132,0.4528301886792453,0.89507430708838,0.6830188679245283
Kebun Teh Nglinggo,4.2682926829268295,1.096001602277625,41,0.5121951219512195,0.0975609756097561,0.3902439024390244,0.8949063845637085,0.6829268292682927
Pantai Ngobaran,4.377777777777778,1.3019022601368715,45,0.4888888888888889,0.1111111111111111,0.4,0.8999802737367547,0.6822222222222223
Potrobayan,4.377777777777778,1.2300940261343085,45,0.4888888888888889,0.044444444444444446,0.4666666666666667,0.8957676320709158,0.6822222222222223
Pintu Langit Dahromo,4.431818181818182,0.8462702650585089,44,0.4772727272727273,0.06818181818181818,0.45454545454545453,0.8972886402037371,0.6818181818181819
